market_name,domain,product_id,product_name,price,is_available,measure,product_url,vender_name,category_name,subcategory_name,category_url
okey,https://www.okeydostavka.ru,44517,Говядина грудинка на кости п/ф охлажденный СП кг,446.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-grudinka-na-kosti-p-f-okhlazhdennyi-sp-kg,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47327,Говядина голяшка без кости п/ф охлажденный кг,480.4,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-goliashka-bez-kosti-p-f-okhlazhdennyi-kg-509475-parent,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47499,Свинина карбонад п/ф охлажденный кг,289.0,1,кг,/spb/vsegda-svezhie-produkty-20/svinina-karbonad-p-f-okhlazhdennyi-kg,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47558,Говядина духовая без кости п/ф охлажденный СП кг,724.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-dukhovaia-bez-kosti-p-f-okhlazhdennyi-sp-kg,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47745,Говядина антрекот поясничная часть без кости п/ф охлажденный СП кг,735.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-antrekot-poiasnichnaia-chast-bez-kosti-p-f-,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47746,Говядина шея без кости п/ф охлажденный СП кг,558.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-sheia-bez-kosti-p-f-okhlazhdennyi-sp-kg,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47871,Свинина шея на кости на шкуре п/ф охлажденный СП кг,357.4,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-sheia-na-kosti-na-shkure-p-f-okhlazhdennyi-sp-kg-,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47875,Свинина окорок на кости на шкуре п/ф охлажденный СП кг,290.4,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-okorok-na-kosti-na-shkure-p-f-okhlazhdennyi-sp-,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47876,Свинина грудинка на кости на шкуре п/ф охлажденный СП кг,231.5,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-grudinka-na-kosti-na-shkure-p-f-okhlazhdennyi-,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,47877,Свинина лопатка на кости на шкуре п/ф охлажденный СП кг,267.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-lopatka-na-kosti-na-shkure-p-f-okhlazhdennyi-,"ООО ""О'КЕЙ""","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
okey,https://www.okeydostavka.ru,50891,Ребрышки свиные деликатесные охлажденные Мираторг кг,558.9,1,кг,/spb/miaso-ptitsa-kolbasy/miaso-20/rebryshki-svinye-delikatesnye-okhlazhdennye-miratorg-,"Мираторг, Россия","Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
