product_id,market_name,domain,product_name,vender_name,price,is_available,measure,product_url,category_name,subcategory_name,category_url
47499,okey,https://www.okeydostavka.ru,Свинина карбонад п/ф охлажденный кг,"ООО ""О'КЕЙ""",329.0,1,кг,/spb/miaso-20/svinina-karbonad-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47558,okey,https://www.okeydostavka.ru,Говядина духовая без кости п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",724.9,1,кг,/spb/miaso-20/goviadina-dukhovaia-bez-kosti-p-f-okhlazhdennyi-sp-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47745,okey,https://www.okeydostavka.ru,Говядина антрекот поясничная часть без кости п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",735.9,1,кг,/spb/miaso-20/goviadina-antrekot-poiasnichnaia-chast-bez-kosti-p-f-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47746,okey,https://www.okeydostavka.ru,Говядина шея без кости п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",558.9,1,кг,/spb/miaso-20/goviadina-sheia-bez-kosti-p-f-okhlazhdennyi-sp-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47872,okey,https://www.okeydostavka.ru,Говядина толстый край без кости п/ф охлажденный кг,"ООО ""О'КЕЙ""",757.9,1,кг,/spb/miaso-20/goviadina-tolstyi-krai-bez-kosti-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47875,okey,https://www.okeydostavka.ru,Свинина окорок на кости на шкуре п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",290.4,1,кг,/spb/miaso-20/svinina-okorok-na-kosti-na-shkure-p-f-okhlazhdennyi-sp-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
47877,okey,https://www.okeydostavka.ru,Свинина лопатка на кости на шкуре п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",267.9,1,кг,/spb/miaso-20/svinina-lopatka-na-kosti-na-shkure-p-f-okhlazhdennyi-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
50891,okey,https://www.okeydostavka.ru,Ребрышки свиные деликатесные охлажденные Мираторг кг,"Мираторг, Россия",558.9,1,кг,/spb/miaso-20/rebryshki-svinye-delikatesnye-okhlazhdennye-miratorg-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
52875,okey,https://www.okeydostavka.ru,Говядина вырезка п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",1318.0,1,кг,/spb/miaso-20/goviadina-vyrezka-p-f-okhlazhdennyi-sp-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
57513,okey,https://www.okeydostavka.ru,Ребрышки свиные с корейки охлажденные Самсон кг,"ООО ""Всеволожский МК""",570.9,1,кг,/spb/miaso-20/rebryshki-svinye-s-koreiki-okhlazhdennye-samson-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
265240,okey,https://www.okeydostavka.ru,Свинина окорок б/к охлажденная в/у Черкизово кг,"Черкизово, Россия",424.4,1,кг,/spb/miaso-20/svinina-okorok-b-k-okhlazhdennaia-v-u-cherkizovo-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
385855,okey,https://www.okeydostavka.ru,Свинина вырезка охлажденная Самсон кг,"ООО ""Всеволожский МК""",625.9,1,кг,/spb/miaso-20/svinina-vyrezka-okhlazhdennaia-samson-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
656103,okey,https://www.okeydostavka.ru,Говядина мраморная мякоть бедра б/к охлажденная Black Angus Мираторг кг,"ООО ""Брянская мясная компания""",1131.0,1,кг,/spb/goviadina-mramornaia-miakot-bedra-b-k-okhlazhdennaia-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
774278,okey,https://www.okeydostavka.ru,Свинина вырезка охлажденная DF Черкизово кг,4,570.9,1,кг,/spb/miaso-20/svinina-vyrezka-okhlazhdennaia-df-cherkizovo-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
746249,okey,https://www.okeydostavka.ru,Ребрышки свиные охлажденные Черкизово кг,"ОАО ""Черкизовский Мясоперерабатывающий комбинат""",469.4,1,кг,/spb/miaso-20/rebryshki-svinye-okhlazhdennye-cherkizovo-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
746303,okey,https://www.okeydostavka.ru,Свинина шея охлажденная Черкизово кг,"ОАО ""ЧМПЗ"", Россия",547.9,1,кг,/spb/miaso-20/svinina-sheia-okhlazhdennaia-cherkizovo-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
134479,okey,https://www.okeydostavka.ru,Свинина окорок без кости п/ф охлажденный кг,"ООО ""О'КЕЙ""",328.9,1,кг,/spb/svinina-okorok-bez-kosti-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
134482,okey,https://www.okeydostavka.ru,Свинина шея без кости п/ф охлажденный кг,"ООО ""О'КЕЙ""",519.5,1,кг,/spb/miaso-20/svinina-sheia-bez-kosti-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
134483,okey,https://www.okeydostavka.ru,Свинина рулька на кости п/ф охлажденный СП кг,"ООО ""О'КЕЙ""",206.4,1,кг,/spb/miaso-20/svinina-rul-ka-na-kosti-p-f-okhlazhdennyi-sp-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
134488,okey,https://www.okeydostavka.ru,Свинина лопатка без кости п/ф охлажденный кг,"ООО ""О'КЕЙ""",279.0,1,кг,/spb/skidki-1/svinina-okhl-lopatka-b-k-kg-379-parent-1,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
3074457345617636161,okey,https://www.okeydostavka.ru,Телятина оковалок п/ф охлажденный кг,МЯСО ЕСТЬ!,988.9,1,кг,/spb/miaso-20/teliatina-okovalok-p-f-okhlazhdennyi-kg,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
924273,okey,https://www.okeydostavka.ru,Говядина мраморная мякоть лопатки в/у Black Angus Мираторг 800г,"ООО ""Брянская мясная компания""",801.9,"0,8",кг,/spb/miaso-20/goviadina-mramornaia-miakot-lopatki-v-u-black-angus-,"Мясо, птица, колбасы",Мясо,/spb/miaso-ptitsa-kolbasy/miaso-20
887144,okey,https://www.okeydostavka.ru,Филе цыпленка охлажденное Петруха 850г,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""",324.5,"0,85",кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/file-tsyplenka-okhlazhdennoe-petrukha-850g,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
3074457345617645704,okey,https://www.okeydostavka.ru,Мякоть бедра цыпленка бескостная охлажденная Петруха 750г,"№1: ЗАО ""Серволюкс Агро""; №2: ОАО ""Смолевичи Бройлер""",229.0,"0,75",кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/miakot-bedra-tsyplenka-beskostnaia-okhlazhdennaia-,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
43919,okey,https://www.okeydostavka.ru,Бедро цыпленка охлажденное 300-550г Роскар кг,"ПАО ""Птицефабрика Роскар""",234.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/bedro-tsyplenka-okhlazhdennoe-300-550g-roskar-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
43920,okey,https://www.okeydostavka.ru,Голень цыпленка охлажденная 300-550г Роскар кг,"ПАО ""Птицефабрика Роскар""",301.4,1,кг,/spb/miaso-ptitsa-kolbasy/ptitsa-20/golen-tsyplenka-okhlazhdennaia-300-550g-roskar-kg,"Мясо, птица, колбасы",Птица,/spb/miaso-ptitsa-kolbasy/ptitsa-20
